episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,agent_timesteps_total,done,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,hist_stats/episode_reward,hist_stats/episode_lengths,sampler_perf/mean_raw_obs_processing_ms,sampler_perf/mean_inference_ms,sampler_perf/mean_action_processing_ms,sampler_perf/mean_env_wait_ms,sampler_perf/mean_env_render_ms,timers/learn_time_ms,timers/learn_throughput,timers/update_time_ms,info/num_steps_sampled,info/num_agent_steps_sampled,info/num_steps_trained,info/num_agent_steps_trained,info/last_target_update_ts,info/num_target_updates,perf/cpu_util_percent,perf/ram_util_percent,info/learner/default_policy/allreduce_latency,info/learner/default_policy/grad_gnorm,info/learner/default_policy/cur_lr,info/learner/default_policy/mean_q,info/learner/default_policy/min_q,info/learner/default_policy/max_q,info/learner/default_policy/mean_td_error
1.1920000314712524,-2.0,-1.3615999937057495,243.6,1,8,11616,11616,False,5,11,a82289ee393c4ca4b6169075bcddcb07,2026-04-15_20-03-35,1776297815,1.645181655883789,17.41856598854065,2854355,atl1-1-03-003-16-2.pace.gatech.edu,172.27.149.105,17.41856598854065,0,11,9ffd1_00000,"[-2.0, -2.0, -2.0, 1.1920000314712524, -2.0]","[43, 64, 266, 404, 441]",0.37604172218093596,3.431932015541451,0.09494778251798686,17.507988040047767,0.0,9.326,3431.318,2.257,11616,11616,3552,3552,11424,19,33.7,5.5,0.0,0.043255642,0.0005,4.56878137588501,4.133133888244629,5.077347278594971,-0.04037129878997803
1.1920000314712524,-2.0,-1.3615999937057495,243.6,0,8,12672,12672,False,5,12,a82289ee393c4ca4b6169075bcddcb07,2026-04-15_20-03-36,1776297816,1.2112793922424316,18.62984538078308,2854355,atl1-1-03-003-16-2.pace.gatech.edu,172.27.149.105,18.62984538078308,0,12,9ffd1_00000,"[-2.0, -2.0, -2.0, 1.1920000314712524, -2.0]","[43, 64, 266, 404, 441]",0.37604172218093596,3.431932015541451,0.09494778251798686,17.507988040047767,0.0,9.337,3427.078,2.15,12672,12672,3904,3904,12576,21,36.6,5.5,0.0,0.06289522,0.0005,4.73512601852417,4.194966793060303,5.075835704803467,-0.06251633167266846
1.3932000398635864,-2.0,-0.6478857057435172,297.42857142857144,2,8,13728,13728,False,7,13,a82289ee393c4ca4b6169075bcddcb07,2026-04-15_20-03-37,1776297817,1.1929242610931396,19.82276964187622,2854355,atl1-1-03-003-16-2.pace.gatech.edu,172.27.149.105,19.82276964187622,0,13,9ffd1_00000,"[-2.0, -2.0, -2.0, 1.1920000314712524, -2.0, 1.3932000398635864, 0.8795999884605408]","[43, 64, 266, 404, 441, 304, 560]",0.3700109767543656,3.050773354021956,0.09302849309387443,17.439977840885664,0.0,9.296,3442.486,2.121,13728,13728,4256,4256,13728,23,40.9,5.5,0.0,0.027457405,0.0005,4.844648361206055,4.52504301071167,5.16200065612793,0.01460227370262146
1.3932000398635864,-2.0,-0.6478857057435172,297.42857142857144,0,8,14784,14784,False,7,14,a82289ee393c4ca4b6169075bcddcb07,2026-04-15_20-03-38,1776297818,1.187803030014038,21.01057267189026,2854355,atl1-1-03-003-16-2.pace.gatech.edu,172.27.149.105,21.01057267189026,0,14,9ffd1_00000,"[-2.0, -2.0, -2.0, 1.1920000314712524, -2.0, 1.3932000398635864, 0.8795999884605408]","[43, 64, 266, 404, 441, 304, 560]",0.3700109767543656,3.050773354021956,0.09302849309387443,17.439977840885664,0.0,9.364,3417.201,2.237,14784,14784,4608,4608,14304,24,38.650000000000006,5.5,0.0,0.083272226,0.0005,4.937740325927734,4.486222267150879,5.217484474182129,0.09169197082519531
1.8652000427246094,-2.0,-0.3337499871850014,268.75,1,8,15840,15840,False,8,15,a82289ee393c4ca4b6169075bcddcb07,2026-04-15_20-03-39,1776297819,1.2014586925506592,22.212031364440918,2854355,atl1-1-03-003-16-2.pace.gatech.edu,172.27.149.105,22.212031364440918,0,15,9ffd1_00000,"[-2.0, -2.0, -2.0, 1.1920000314712524, -2.0, 1.3932000398635864, 0.8795999884605408, 1.8652000427246094]","[43, 64, 266, 404, 441, 304, 560, 68]",0.3696690227603779,2.926985253111943,0.09274474229501711,17.41994518017262,0.0,9.279,3448.696,2.163,15840,15840,4960,4960,15456,26,41.3,5.5,0.0,0.027568158,0.0005,4.908499240875244,3.7272610664367676,5.287540435791016,0.01254177838563919
1.8652000427246094,-2.0,-0.3337499871850014,268.75,0,8,16896,16896,False,8,16,a82289ee393c4ca4b6169075bcddcb07,2026-04-15_20-03-41,1776297821,1.3697326183319092,23.581763982772827,2854355,atl1-1-03-003-16-2.pace.gatech.edu,172.27.149.105,23.581763982772827,0,16,9ffd1_00000,"[-2.0, -2.0, -2.0, 1.1920000314712524, -2.0, 1.3932000398635864, 0.8795999884605408, 1.8652000427246094]","[43, 64, 266, 404, 441, 304, 560, 68]",0.3696690227603779,2.926985253111943,0.09274474229501711,17.41994518017262,0.0,9.221,3470.346,2.083,16896,16896,5312,5312,16608,28,40.05,5.5,0.0,0.088835016,0.0005,4.977356433868408,3.9770805835723877,5.429022789001465,-0.09399900585412979
1.8652000427246094,-2.0,-0.3337499871850014,268.75,0,8,17952,17952,False,8,17,a82289ee393c4ca4b6169075bcddcb07,2026-04-15_20-03-42,1776297822,1.196211814880371,24.7779757976532,2854355,atl1-1-03-003-16-2.pace.gatech.edu,172.27.149.105,24.7779757976532,0,17,9ffd1_00000,"[-2.0, -2.0, -2.0, 1.1920000314712524, -2.0, 1.3932000398635864, 0.8795999884605408, 1.8652000427246094]","[43, 64, 266, 404, 441, 304, 560, 68]",0.3696690227603779,2.926985253111943,0.09274474229501711,17.41994518017262,0.0,9.421,3396.644,2.299,17952,17952,5664,5664,17760,30,35.45,5.5,0.0,0.052718095,0.0005,4.902564525604248,4.098034858703613,5.359862804412842,-0.05412006378173828
1.8652000427246094,-2.0,-0.518888877497779,325.77777777777777,1,8,19008,19008,False,9,18,a82289ee393c4ca4b6169075bcddcb07,2026-04-15_20-03-43,1776297823,1.2102556228637695,25.988231420516968,2854355,atl1-1-03-003-16-2.pace.gatech.edu,172.27.149.105,25.988231420516968,0,18,9ffd1_00000,"[-2.0, -2.0, -2.0, 1.1920000314712524, -2.0, 1.3932000398635864, 0.8795999884605408, 1.8652000427246094, -2.0]","[43, 64, 266, 404, 441, 304, 560, 68, 782]",0.3675181484786507,2.823552074426833,0.09263631588024906,17.415694341634193,0.0,9.464,3381.268,2.231,19008,19008,6016,6016,18912,32,40.8,5.6,0.0,0.05256559,0.0005,5.033795356750488,4.542056083679199,5.3840250968933105,-0.054212868213653564
1.8652000427246094,-2.0,-0.42859998941421507,374.0,1,8,20064,20064,False,10,19,a82289ee393c4ca4b6169075bcddcb07,2026-04-15_20-03-44,1776297824,1.1666960716247559,27.154927492141724,2854355,atl1-1-03-003-16-2.pace.gatech.edu,172.27.149.105,27.154927492141724,0,19,9ffd1_00000,"[-2.0, -2.0, -2.0, 1.1920000314712524, -2.0, 1.3932000398635864, 0.8795999884605408, 1.8652000427246094, -2.0, 0.3840000033378601]","[43, 64, 266, 404, 441, 304, 560, 68, 782, 808]",0.3663142874107651,2.738518720029359,0.09227811670734665,17.404718038478034,0.0,9.083,3522.997,2.077,20064,20064,6368,6368,20064,34,39.05,5.5,0.0,0.042141683,0.0005,5.122410297393799,3.924644708633423,5.564529895782471,0.04097338020801544
1.8652000427246094,-2.0,-0.42859998941421507,374.0,0,8,21120,21120,False,10,20,a82289ee393c4ca4b6169075bcddcb07,2026-04-15_20-03-46,1776297826,1.1905248165130615,28.345452308654785,2854355,atl1-1-03-003-16-2.pace.gatech.edu,172.27.149.105,28.345452308654785,0,20,9ffd1_00000,"[-2.0, -2.0, -2.0, 1.1920000314712524, -2.0, 1.3932000398635864, 0.8795999884605408, 1.8652000427246094, -2.0, 0.3840000033378601]","[43, 64, 266, 404, 441, 304, 560, 68, 782, 808]",0.3663142874107651,2.738518720029359,0.09227811670734665,17.404718038478034,0.0,9.312,3436.59,2.11,21120,21120,6720,6720,20640,35,41.9,5.6,0.0,0.030524569,0.0005,5.152725696563721,3.9039924144744873,5.522516250610352,0.027578935027122498
