episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,agent_timesteps_total,done,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,policy_reward_min/default,policy_reward_max/default,policy_reward_mean/default,hist_stats/episode_reward,hist_stats/episode_lengths,hist_stats/policy_default_reward,sampler_perf/mean_raw_obs_processing_ms,sampler_perf/mean_inference_ms,sampler_perf/mean_action_processing_ms,sampler_perf/mean_env_wait_ms,sampler_perf/mean_env_render_ms,timers/sample_time_ms,timers/sample_throughput,timers/learn_time_ms,timers/learn_throughput,timers/update_time_ms,info/num_steps_sampled,info/num_agent_steps_sampled,info/num_steps_trained,info/num_agent_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,info/learner/default/learner_stats/allreduce_latency,info/learner/default/learner_stats/cur_kl_coeff,info/learner/default/learner_stats/cur_lr,info/learner/default/learner_stats/total_loss,info/learner/default/learner_stats/policy_loss,info/learner/default/learner_stats/vf_loss,info/learner/default/learner_stats/vf_explained_var,info/learner/default/learner_stats/kl,info/learner/default/learner_stats/entropy,info/learner/default/learner_stats/entropy_coeff

4.930321902167325,4.930321902167325,4.930321902167325,279.0,1,6,7992,15984,False,1,1,bc0dc7a881e0496c9a9bea2f807f58d8,2026-04-14_17-31-16,1776202276,82.7759358882904,82.7759358882904,12148,sammy-lg-gram,172.16.10.74,82.7759358882904,0,1,0bfd5_00000,0.4272548831592671,4.503067019008056,2.4651609510836616,[4.930321902167325],[279],"[4.503067019008056, 0.4272548831592671]",0.4249594184789765,3.7651828165804404,0.1694716764300057,27.537525905651993,0.0,15911.563,502.276,66839.325,119.57,7.515,7992,15984,7992,15984,20.17606837606838,74.65641025641028,0.0,0.2,5e-05,0.07173944507539272,-0.08575519840791822,0.15172063225507737,0.51862544,0.028870052888989448,6.5628203010559085,0.0

6.449750139488254,4.930321902167325,5.899314150359948,541.3333333333334,2,6,15984,31968,False,3,2,bc0dc7a881e0496c9a9bea2f807f58d8,2026-04-14_17-32-21,1776202341,64.28009939193726,147.05603528022766,12148,sammy-lg-gram,172.16.10.74,147.05603528022766,0,2,0bfd5_00000,-1.1685483437707616,7.618298483259015,2.949657075179974,"[4.930321902167325, 6.449750139488254, 6.317870409424265]","[279, 727, 618]","[4.503067019008056, 0.4272548831592671, 7.618298483259015, -1.1685483437707616, -1.1500562236444047, 7.467926633068671]",0.361900414606247,3.4296802852814134,0.15643219437093764,24.78930788760189,0.0,13503.352,591.853,59926.708,133.363,7.267,15984,31968,15984,31968,19.075555555555557,75.53888888888888,0.0,0.2999999999999998,5e-05,0.08733516081795097,-0.09852670145779849,0.17777433586120606,0.64803857,0.026958418354392052,6.527426387786865,0.0

22.62428107250612,2.2644899810299677,11.335458593799485,834.1363636363636,19,6,23976,47952,False,22,3,bc0dc7a881e0496c9a9bea2f807f58d8,2026-04-14_17-33-23,1776202403,62.36425733566284,209.4202926158905,12148,sammy-lg-gram,172.16.10.74,209.4202926158905,0,3,0bfd5_00000,-11.957078239148894,22.382663984281933,5.667729296899739,"[4.930321902167325, 6.449750139488254, 6.317870409424265, 11.39026026504995, 22.62428107250612, 17.704481588083024, 4.517345499389615, 18.104170042037538, 11.795068706909454, 18.215058500616014, 4.19117796476031, 6.079185297753893, 16.96839711428461, 18.598632548195663, 2.2644899810299677, 7.1336331996671465, 13.705954259039345, 14.351474135283885, 11.185046300014537, 7.034492072145095, 8.355296817397434, 17.463701248345206]","[279, 727, 618, 1000, 1000, 1000, 290, 1000, 1000, 1000, 295, 1000, 1000, 1000, 142, 1000, 1000, 1000, 1000, 1000, 1000, 1000]","[4.503067019008056, 0.4272548831592671, 7.618298483259015, -1.1685483437707616, -1.1500562236444047, 7.467926633068671, 11.39898171837271, -0.008721453322787804, 0.24161708822417183, 22.382663984281933, 4.848705711986302, 12.855775876096708, 4.852789187465987, -0.33544368807637515, 5.712292806294834, 12.391877235742674, 11.992950392761216, -0.19788168585177718, 11.26079461486609, 6.9542638857499135, -1.6144363278853942, 5.805614292645704, 18.036263536902762, -11.957078239148894, 13.573387218061256, 3.3950098962233572, 14.263924768222617, 4.334707779973022, -2.005637977532868, 4.270127958562834, 9.825845261540476, -2.692212061873302, 2.4724234117336965, 11.23353084730565, 7.082079365811331, 7.2693947694725916, 3.3795419776247067, 7.805504322389795, 14.927557238078002, -7.893065165933008, 15.929835258271511, -7.5745384408739795, 5.629862307667409, 11.833838940677813]",0.3431186233917865,3.1081818857514336,0.14413926323964882,22.565475957871282,0.0,12899.482,619.56,56777.349,140.76,6.683,23976,47952,23976,47952,17.53181818181818,75.42727272727274,0.0,0.45000000000000023,5e-05,0.046742364957928655,-0.10034217001497746,0.13675256830453872,0.6922589,0.02295992511510849,6.500126461029053,0.0

22.62428107250612,2.2644899810299677,10.884107301420284,764.8064516129032,9,6,31968,63936,False,31,4,bc0dc7a881e0496c9a9bea2f807f58d8,2026-04-14_17-34-26,1776202466,63.20454216003418,272.6248347759247,12148,sammy-lg-gram,172.16.10.74,272.6248347759247,0,4,0bfd5_00000,-11.957078239148894,22.382663984281933,5.4420536507101405,"[4.930321902167325, 6.449750139488254, 6.317870409424265, 11.39026026504995, 22.62428107250612, 17.704481588083024, 4.517345499389615, 18.104170042037538, 11.795068706909454, 18.215058500616014, 4.19117796476031, 6.079185297753893, 16.96839711428461, 18.598632548195663, 2.2644899810299677, 7.1336331996671465, 13.705954259039345, 14.351474135283885, 11.185046300014537, 7.034492072145095, 8.355296817397434, 17.463701248345206, 6.4765456549650136, 10.740852362546255, 8.373694445330905, 20.59444325305535, 11.836514163447394, 3.184885263807571, 9.244661030869581, 5.108393945487513, 12.467247160930512]","[279, 727, 618, 1000, 1000, 1000, 290, 1000, 1000, 1000, 295, 1000, 1000, 1000, 142, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 423, 613, 446, 1000, 781, 580, 581, 268, 666]","[4.503067019008056, 0.4272548831592671, 7.618298483259015, -1.1685483437707616, -1.1500562236444047, 7.467926633068671, 11.39898171837271, -0.008721453322787804, 0.24161708822417183, 22.382663984281933, 4.848705711986302, 12.855775876096708, 4.852789187465987, -0.33544368807637515, 5.712292806294834, 12.391877235742674, 11.992950392761216, -0.19788168585177718, 11.26079461486609, 6.9542638857499135, -1.6144363278853942, 5.805614292645704, 18.036263536902762, -11.957078239148894, 13.573387218061256, 3.3950098962233572, 14.263924768222617, 4.334707779973022, -2.005637977532868, 4.270127958562834, 9.825845261540476, -2.692212061873302, 2.4724234117336965, 11.23353084730565, 7.082079365811331, 7.2693947694725916, 3.3795419776247067, 7.805504322389795, 14.927557238078002, -7.893065165933008, 15.929835258271511, -7.5745384408739795, 5.629862307667409, 11.833838940677813, 10.344603259318989, -3.8680576043539814, -0.39544787350531974, 11.13630023605158, -1.7155871787066388, 10.089281624037547, 11.253223881255565, 9.341219371799824, 8.172471709127379, 3.6640424543200085, 9.525973654997419, -6.341088391189845, 1.6180332214668023, 7.626627809402791, 0.033389222640098914, 5.075004722847416, 1.6271671865203619, 10.840079974410148]",0.34030035700685923,3.052807473774412,0.14221325095709333,22.237185438076125,0.0,12439.867,642.451,55567.092,143.826,6.639,31968,63936,31968,63936,18.69431818181818,74.71704545454544,0.0,0.675,5e-05,0.07681046789139509,-0.10159451231732965,0.16497999876737596,0.7352567,0.019888862282037734,6.471819187164306,0.0

22.62428107250612,2.2644899810299677,10.991440883388169,781.725,9,6,39960,79920,False,40,5,bc0dc7a881e0496c9a9bea2f807f58d8,2026-04-14_17-35-30,1776202530,63.773232221603394,336.3980669975281,12148,sammy-lg-gram,172.16.10.74,336.3980669975281,0,5,0bfd5_00000,-11.957078239148894,22.382663984281933,5.495720441694083,"[4.930321902167325, 6.449750139488254, 6.317870409424265, 11.39026026504995, 22.62428107250612, 17.704481588083024, 4.517345499389615, 18.104170042037538, 11.795068706909454, 18.215058500616014, 4.19117796476031, 6.079185297753893, 16.96839711428461, 18.598632548195663, 2.2644899810299677, 7.1336331996671465, 13.705954259039345, 14.351474135283885, 11.185046300014537, 7.034492072145095, 8.355296817397434, 17.463701248345206, 6.4765456549650136, 10.740852362546255, 8.373694445330905, 20.59444325305535, 11.836514163447394, 3.184885263807571, 9.244661030869581, 5.108393945487513, 12.467247160930512, 13.12787779297173, 12.663201951367366, 12.80022235123251, 8.650859171501084, 19.153263665458244, 4.508916172359337, 7.617884592075992, 14.283439027676291, 9.444644266855423]","[279, 727, 618, 1000, 1000, 1000, 290, 1000, 1000, 1000, 295, 1000, 1000, 1000, 142, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 423, 613, 446, 1000, 781, 580, 581, 268, 666, 1000, 1000, 828, 793, 1000, 371, 577, 991, 1000]","[4.503067019008056, 0.4272548831592671, 7.618298483259015, -1.1685483437707616, -1.1500562236444047, 7.467926633068671, 11.39898171837271, -0.008721453322787804, 0.24161708822417183, 22.382663984281933, 4.848705711986302, 12.855775876096708, 4.852789187465987, -0.33544368807637515, 5.712292806294834, 12.391877235742674, 11.992950392761216, -0.19788168585177718, 11.26079461486609, 6.9542638857499135, -1.6144363278853942, 5.805614292645704, 18.036263536902762, -11.957078239148894, 13.573387218061256, 3.3950098962233572, 14.263924768222617, 4.334707779973022, -2.005637977532868, 4.270127958562834, 9.825845261540476, -2.692212061873302, 2.4724234117336965, 11.23353084730565, 7.082079365811331, 7.2693947694725916, 3.3795419776247067, 7.805504322389795, 14.927557238078002, -7.893065165933008, 15.929835258271511, -7.5745384408739795, 5.629862307667409, 11.833838940677813, 10.344603259318989, -3.8680576043539814, -0.39544787350531974, 11.13630023605158, -1.7155871787066388, 10.089281624037547, 11.253223881255565, 9.341219371799824, 8.172471709127379, 3.6640424543200085, 9.525973654997419, -6.341088391189845, 1.6180332214668023, 7.626627809402791, 0.033389222640098914, 5.075004722847416, 1.6271671865203619, 10.840079974410148, -2.6671100886610133, 15.794987881632771, 4.367242954459723, 8.295958996907645, 1.8240540458229892, 10.976168305409551, -6.202054950857558, 14.852914122358655, 7.087228579450104, 12.066035086008096, -1.3789153173100925, 5.88783148966943, 4.5283404097199895, 3.089544182355984, 12.388779022165352, 1.8946600055109277, -11.19359073098871, 20.638234997844105]",0.33969039721602423,3.012825548804698,0.14013829329787658,21.97353350779627,0.0,12221.358,653.937,54902.782,145.566,6.515,39960,79920,39960,79920,18.32,75.26666666666668,0.0,0.675,5e-05,0.0614501698166132,-0.10441359625011683,0.1519788514971733,0.7907916,0.02057024432718754,6.44326774597168,0.0
